player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,Name,Position,Source,ERA,xERA,era_minus_xera_diff
690993,2024,556,408,0.26,0.265,-0.005,0.38,0.398,-0.018,0.301,0.314,-0.013,Colt Keith,BAT,BBSavant_2024,,,
686469,2024,554,439,0.262,0.264,-0.002,0.446,0.452,-0.006,0.325,0.336,-0.011,Vinnie Pasquantino,BAT,BBSavant_2024,,,
666971,2024,553,417,0.279,0.265,0.014,0.435,0.433,0.002,0.327,0.325,0.002,Lourdes Gurriel Jr.,BAT,BBSavant_2024,,,
572233,2024,552,354,0.251,0.243,0.008,0.468,0.47,-0.0019999999999999,0.343,0.354,-0.0109999999999999,Christian Walker,BAT,BBSavant_2024,,,
680869,2024,547,317,0.211,0.198,0.0129999999999999,0.362,0.353,0.009,0.276,0.273,0.003,Zack Gelof,BAT,BBSavant_2024,,,
669257,2024,544,379,0.248,0.238,0.01,0.433,0.463,-0.03,0.326,0.337,-0.011,Will Smith,BAT,BBSavant_2024,,,
680757,2024,540,431,0.292,0.283,0.009,0.425,0.392,0.0329999999999999,0.349,0.337,0.0119999999999999,Steven Kwan,BAT,BBSavant_2024,,,
663898,2024,539,372,0.267,0.246,0.021,0.407,0.382,0.0249999999999999,0.314,0.299,0.015,Brendan Rodgers,BAT,BBSavant_2024,,,
607208,2024,539,408,0.295,0.263,0.0319999999999999,0.469,0.43,0.0389999999999999,0.349,0.323,0.0259999999999999,Trea Turner,BAT,BBSavant_2024,,,
457759,2024,539,372,0.259,0.251,0.008,0.383,0.394,-0.011,0.327,0.333,-0.006,Justin Turner,BAT,BBSavant_2024,,,
660821,2024,537,352,0.252,0.261,-0.009,0.417,0.48,-0.063,0.317,0.348,-0.0309999999999999,Jesús Sánchez,BAT,BBSavant_2024,,,
664034,2024,535,370,0.234,0.225,0.009,0.365,0.394,-0.029,0.296,0.306,-0.01,Ty France,BAT,BBSavant_2024,,,
669127,2024,534,343,0.224,0.237,-0.0129999999999999,0.45,0.461,-0.011,0.315,0.328,-0.013,Shea Langeliers,BAT,BBSavant_2024,,,
608369,2024,533,381,0.278,0.28,-0.002,0.512,0.573,-0.0609999999999999,0.365,0.391,-0.026,Corey Seager,BAT,BBSavant_2024,,,
665750,2024,529,375,0.229,0.238,-0.0089999999999999,0.352,0.378,-0.026,0.282,0.299,-0.017,Leody Taveras,BAT,BBSavant_2024,,,
671277,2024,528,415,0.282,0.275,0.0069999999999999,0.444,0.461,-0.017,0.328,0.335,-0.007,Luis García Jr.,BAT,BBSavant_2024,,,
657041,2024,528,340,0.237,0.24,-0.003,0.4,0.388,0.012,0.309,0.311,-0.002,Lane Thomas,BAT,BBSavant_2024,,,
686217,2024,524,400,0.259,0.246,0.013,0.335,0.309,0.026,0.292,0.283,0.009,Sal Frelick,BAT,BBSavant_2024,,,
643217,2024,522,384,0.229,0.244,-0.0149999999999999,0.396,0.407,-0.0109999999999999,0.298,0.31,-0.012,Andrew Benintendi,BAT,BBSavant_2024,,,
681351,2024,522,326,0.244,0.247,-0.003,0.409,0.462,-0.053,0.311,0.333,-0.022,Logan O'Hoppe,BAT,BBSavant_2024,,,
696285,2024,521,377,0.256,0.254,0.002,0.331,0.323,0.008,0.29,0.291,-0.001,Jacob Young,BAT,BBSavant_2024,,,
671218,2024,518,344,0.269,0.245,0.024,0.469,0.484,-0.015,0.339,0.337,0.002,Heliot Ramos,BAT,BBSavant_2024,,,
656555,2024,517,306,0.214,0.201,0.0129999999999999,0.419,0.402,0.0169999999999999,0.313,0.306,0.007,Rhys Hoskins,BAT,BBSavant_2024,,,
605141,2024,516,397,0.289,0.282,0.007,0.491,0.468,0.0229999999999999,0.371,0.364,0.007,Mookie Betts,BAT,BBSavant_2024,,,
663886,2024,515,342,0.258,0.238,0.02,0.444,0.413,0.031,0.339,0.325,0.014,Tyler Stephenson,BAT,BBSavant_2024,,,
457705,2024,515,317,0.232,0.219,0.013,0.411,0.421,-0.01,0.325,0.325,0.0,Andrew McCutchen,BAT,BBSavant_2024,,,
662139,2024,513,324,0.214,0.185,0.0289999999999999,0.407,0.326,0.0809999999999999,0.304,0.265,0.0389999999999999,Daulton Varsho,BAT,BBSavant_2024,,,
676694,2024,513,351,0.219,0.233,-0.014,0.36,0.39,-0.03,0.285,0.306,-0.021,Jake Meyers,BAT,BBSavant_2024,,,
687401,2024,511,346,0.239,0.232,0.0069999999999999,0.398,0.347,0.051,0.319,0.307,0.012,Joey Ortiz,BAT,BBSavant_2024,,,
608385,2024,508,329,0.253,0.243,0.01,0.405,0.388,0.017,0.338,0.33,0.008,Jesse Winker,BAT,BBSavant_2024,,,
663624,2024,507,365,0.271,0.271,0.0,0.425,0.455,-0.03,0.316,0.336,-0.02,Ryan Mountcastle,BAT,BBSavant_2024,,,
657757,2024,501,348,0.233,0.248,-0.0149999999999999,0.357,0.387,-0.03,0.291,0.313,-0.022,Gavin Sheets,BAT,BBSavant_2024,,,
453568,2024,499,364,0.256,0.246,0.01,0.412,0.374,0.0379999999999999,0.323,0.309,0.014,Charlie Blackmon,BAT,BBSavant_2024,,,
656775,2024,499,350,0.234,0.224,0.01,0.405,0.357,0.048,0.31,0.292,0.018,Cedric Mullins,BAT,BBSavant_2024,,,
643396,2024,496,392,0.269,0.251,0.018,0.376,0.354,0.022,0.299,0.289,0.01,Isiah Kiner-Falefa,BAT,BBSavant_2024,,,
